Date,AAPL,AMZN,CVX,GOOGL,JNJ,MSFT,NFLX,PFE,UNH,XOM
2019-04-17,48.40275192260742,93.24099731445312,87.65787506103516,61.462005615234375,113.28752136230469,113.91300201416016,35.4739990234375,26.344341278076172,191.5103302001953,58.67555236816406
2019-04-18,48.576698303222656,93.08450317382812,87.35907745361328,61.52791976928711,112.46967315673828,115.40977478027344,36.03499984741211,26.01405143737793,195.84677124023438,58.45936965942383
2019-04-22,48.7363395690918,94.3655014038086,88.8459243774414,62.137020111083984,112.72319793701172,115.77460479736328,37.73400115966797,25.749814987182617,200.5806427001953,59.73478698730469
2019-04-23,49.43927764892578,96.1884994506836,88.93338012695312,62.97112274169922,114.41613006591797,117.34620666503906,38.18899917602539,26.04047203063965,203.64535522460938,60.080657958984375
2019-04-24,49.363037109375,95.0875015258789,86.20750427246094,62.44874954223633,113.84365844726562,116.94396209716797,37.42300033569336,26.0074405670166,203.44219970703125,58.9133415222168
2019-04-25,48.915061950683594,95.11250305175781,85.9305191040039,62.81005096435547,114.21168518066406,120.81681823730469,36.83300018310547,26.165992736816406,203.83078002929688,59.24479293823242
2019-04-26,48.681541442871094,97.53150177001953,85.34747314453125,63.30961990356445,114.81688690185547,121.50904846191406,37.48500061035156,26.403789520263672,209.31539916992188,57.99821090698242
2019-04-29,48.75541305541992,96.92150115966797,85.7993392944336,64.24036407470703,114.36708068847656,121.39682006835938,37.18299865722656,26.152774810791016,209.71282958984375,57.623538970947266
2019-04-30,47.816566467285156,96.32599639892578,87.5048599243164,59.42110061645508,115.47930908203125,122.17324829101562,37.05400085449219,26.826581954956055,205.84445190429688,57.84690856933594
2019-05-01,50.16367721557617,95.57599639892578,85.86493682861328,58.15037155151367,116.09270477294922,119.62875366210938,37.88100051879883,26.93226432800293,204.8553009033203,56.68679428100586
2019-05-02,49.837215423583984,95.04100036621094,84.82270812988281,57.81285858154297,115.54472351074219,118.06651306152344,37.90599822998047,27.090810775756836,205.29689025878906,55.69239807128906
2019-05-03,50.45676040649414,98.12300109863281,85.47137451171875,58.95473861694336,116.14178466796875,120.58295440673828,38.50299835205078,27.341833114624023,204.8553009033203,55.82210922241211
2019-05-06,49.67757034301758,97.52749633789062,86.29496002197266,59.14852523803711,116.20721435546875,119.88134765625,37.867000579833984,27.513587951660156,212.406494140625,55.577125549316406
2019-05-07,48.338409423828125,96.05000305175781,86.20022583007812,58.4249382019043,114.47338104248047,117.42105865478516,37.04600143432617,26.971906661987305,210.2427215576172,55.281700134277344
2019-05-08,48.34794998168945,95.88849639892578,85.63900756835938,58.02448654174805,114.32615661621094,117.41167449951172,36.4370002746582,27.051177978515625,211.21420288085938,55.36817169189453
2019-05-09,47.828487396240234,94.99349975585938,88.32842254638672,57.88521957397461,113.4592514038086,117.40235137939453,36.275001525878906,27.084501266479492,210.17208862304688,55.31773376464844
2019-05-10,47.165897369384766,94.4990005493164,88.9114990234375,57.86886978149414,113.72098541259766,118.92715454101562,36.104000091552734,27.137821197509766,212.48597717285156,55.79873275756836
2019-05-13,44.42463302612305,91.13400268554688,87.78179168701172,56.33000183105469,112.20795440673828,115.39107513427734,34.5260009765625,27.0378475189209,211.56748962402344,55.17923355102539
2019-05-14,45.12790298461914,92.00599670410156,88.65641021728516,55.748661041259766,111.89718627929688,116.68199157714844,34.56100082397461,27.097829818725586,208.8119354248047,55.25212478637695
2019-05-15,45.66848373413086,93.55750274658203,89.02081298828125,58.025474548339844,111.97080993652344,118.32516479492188,35.499000549316406,27.42439079284668,208.50283813476562,55.660282135009766
2019-05-16,45.46756362915039,95.37850189208984,88.91044616699219,58.70446014404297,113.03400421142578,121.05746459960938,35.930999755859375,27.75094985961914,209.1299285888672,55.65296936035156
2019-05-17,45.209224700927734,93.44999694824219,88.704345703125,57.92536163330078,113.36112213134766,120.25,35.44499969482422,27.637653350830078,213.18374633789062,55.325016021728516
2019-05-20,43.7955322265625,92.94850158691406,88.93986511230469,56.72996520996094,113.20572662353516,118.512939453125,34.81100082397461,27.717620849609375,217.2552032470703,55.317726135253906
2019-05-21,44.63513946533203,92.8759994506836,89.3078842163086,57.21466827392578,112.96038055419922,119.15142059326172,35.426998138427734,27.770944595336914,220.7438201904297,55.57281494140625
2019-05-22,43.72137451171875,92.98400115966797,88.74114990234375,57.284549713134766,113.48379516601562,119.8744125366211,35.972999572753906,27.984210968017578,220.2139129638672,55.06993103027344
2019-05-23,42.975067138671875,90.77400207519531,86.75392150878906,56.76366424560547,114.32615661621094,118.47538757324219,35.22100067138672,27.937551498413086,217.7056427001953,53.779903411865234
2019-05-24,42.810028076171875,91.16400146484375,87.37216186523438,56.430118560791016,114.33441162109375,118.53170013427734,35.43899917602539,27.95754623413086,218.7036590576172,54.005828857421875
2019-05-28,42.633018493652344,91.82150268554688,87.0777587890625,56.477203369140625,112.86868286132812,118.45661926269531,35.50600051879883,27.924226760864258,213.78433227539062,52.919891357421875
2019-05-29,42.42969512939453,90.95950317382812,85.94429016113281,55.50482940673828,108.14213562011719,117.31111907958984,34.91899871826172,27.804264068603516,214.0845947265625,52.59192657470703
2019-05-30,42.64975357055664,90.81600189208984,84.92122650146484,55.57768249511719,108.784423828125,118.05288696289062,35.185001373291016,27.924226760864258,215.05609130859375,52.45344924926758
2019-05-31,41.87712860107422,88.75350189208984,83.79512786865234,54.8387336730957,107.99391174316406,116.12804412841797,34.327999114990234,27.670978546142578,213.5546875,51.578857421875
2019-06-03,41.4537353515625,84.6344985961914,85.37019348144531,51.480506896972656,108.23271942138672,112.52251434326172,33.66299819946289,27.937551498413086,208.9268035888672,52.387847900390625
2019-06-04,42.97029495239258,86.47799682617188,86.33438110351562,52.261085510253906,110.11840057373047,115.63981628417969,35.34000015258789,28.14415740966797,212.63616943359375,53.6341438293457
2019-06-05,43.663970947265625,86.92500305175781,86.59199523925781,51.77291488647461,110.65365600585938,118.14677429199219,35.573001861572266,28.31077003479004,214.41139221191406,53.18955993652344
2019-06-06,44.30503845214844,87.71800231933594,88.82210540771484,51.92754364013672,112.54753875732422,120.01525115966797,35.7130012512207,28.464054107666016,213.57232666015625,54.15890121459961
2019-06-07,45.48429870605469,90.20149993896484,89.41091918945312,52.9489860534668,114.08738708496094,123.3766860961914,36.08700180053711,28.60399627685547,217.94415283203125,54.35567092895508
2019-06-10,46.0655632019043,93.03150177001953,90.0071029663086,53.66217041015625,114.47439575195312,124.50341796875,35.20100021362305,28.70397186279297,219.15408325195312,54.596195220947266
2019-06-11,46.59897994995117,93.18499755859375,89.18276977539062,53.5769157409668,115.10022735595703,124.03394317626953,35.12699890136719,28.437387466430664,217.14927673339844,54.54515075683594
2019-06-12,46.45067596435547,92.76599884033203,88.46147155761719,53.480770111083984,116.66473388671875,123.461181640625,34.555999755859375,28.710636138916016,215.93930053710938,53.9548225402832
2019-06-13,46.441104888916016,93.51499938964844,88.99139404296875,54.071041107177734,115.86600494384766,124.24051666259766,34.34299850463867,28.3241024017334,216.3455352783203,54.428558349609375
2019-06-14,46.10383987426758,93.4834976196289,88.91776275634766,53.83760452270508,115.35546112060547,124.36253356933594,33.972999572753906,28.49737548828125,217.66734313964844,54.188053131103516
2019-06-17,46.3789176940918,94.30149841308594,89.34468841552734,54.213768005371094,114.8202133178711,124.7381362915039,35.0620002746582,28.577350616455078,218.19960021972656,54.72737121582031
2019-06-18,47.469669342041016,95.06849670410156,90.47813415527344,54.77628707885742,115.47075653076172,126.90709686279297,35.71200180053711,28.70397186279297,217.9600067138672,55.20109939575195
2019-06-19,47.3309440612793,95.43949890136719,90.44869995117188,54.74010467529297,115.65189361572266,127.40469360351562,36.35200119018555,28.990543365478516,221.94314575195312,54.89500045776367
2019-06-20,47.71128463745117,95.90950012207031,91.4717788696289,55.1707878112793,117.10118865966797,128.5877685546875,36.520999908447266,29.05718994140625,219.78750610351562,55.8351936340332
2019-06-21,47.54861831665039,95.56500244140625,91.95016479492188,55.77394104003906,117.00232696533203,128.60650634765625,36.92100143432617,29.103845596313477,223.7971954345703,56.622314453125
